ENSG00000000003.1	gene_1
ENSG00000108175.1	gene_4545
ENSG00000108176.1	gene_4546
ENSG00000108179.1	gene_4547
ENSG00000108187.1	gene_4548
ENSG00000108219.1	gene_4549
ENSG00000108231.1	gene_4550
ENSG00000108239.1	gene_4551
ENSG00000108242.1	gene_4552
ENSG00000108244.1	gene_4553
ENSG00000108255.1	gene_4554
ENSG00000108256.1	gene_4555
ENSG00000108262.1	gene_4556
ENSG00000108298.1	gene_4557
ENSG00000108298.2	gene_4558
ENSG00000108306.1	gene_4559
ENSG00000108309.1	gene_4560
ENSG00000108312.1	gene_4561
ENSG00000108342.1	gene_4562
ENSG00000108344.1	gene_4563
ENSG00000108349.1	gene_4564
ENSG00000108352.1	gene_4565
ENSG00000108370.1	gene_4566
ENSG00000108375.1	gene_4567
ENSG00000108379.1	gene_4568
ENSG00000108381.1	gene_4569
ENSG00000108384.1	gene_4570
ENSG00000108387.1	gene_4571
ENSG00000108387.2	gene_4572
ENSG00000108389.1	gene_4573
ENSG00000108395.1	gene_4574
ENSG00000108405.1	gene_4575
ENSG00000108406.1	gene_4576
ENSG00000108417.1	gene_4577
ENSG00000108417.2	gene_4578
ENSG00000108423.1	gene_4579
ENSG00000108424.1	gene_4580
ENSG00000108424.2	gene_4581
ENSG00000108433.1	gene_4582
ENSG00000108433.2	gene_4583
ENSG00000108433.3	gene_4584
ENSG00000108439.1	gene_4585
ENSG00000108443.1	gene_4586
ENSG00000108465.1	gene_4587
ENSG00000108468.1	gene_4588
ENSG00000108469.1	gene_4589
ENSG00000108469.2	gene_4590
ENSG00000108474.1	gene_4591
ENSG00000108479.1	gene_4592
ENSG00000108506.1	gene_4593
ENSG00000108509.1	gene_4594
ENSG00000108510.1	gene_4595
ENSG00000108511.1	gene_4596
ENSG00000108515.1	gene_4597
ENSG00000108518.1	gene_4598
ENSG00000108523.1	gene_4599
ENSG00000108528.1	gene_4600
ENSG00000108551.1	gene_4601
ENSG00000108556.1	gene_4602
ENSG00000108556.2	gene_4603
ENSG00000108557.1	gene_4604
ENSG00000108559.1	gene_4605
ENSG00000108561.1	gene_4606
ENSG00000108576.1	gene_4607
ENSG00000108576.2	gene_4608
ENSG00000108576.3	gene_4609
ENSG00000108578.1	gene_4610
ENSG00000108582.1	gene_4611
ENSG00000108587.1	gene_4612
ENSG00000108588.1	gene_4613
ENSG00000108590.1	gene_4614
ENSG00000108591.1	gene_4615
ENSG00000108592.1	gene_4616
ENSG00000108599.1	gene_4617
ENSG00000108602.1	gene_4618
ENSG00000108604.1	gene_4619
ENSG00000108622.1	gene_4620
ENSG00000108639.1	gene_4621
ENSG00000108641.1	gene_4622
ENSG00000108641.2	gene_4623
ENSG00000108651.1	gene_4624
ENSG00000108654.1	gene_4625
ENSG00000108654.2	gene_4626
ENSG00000108654.3	gene_4627
ENSG00000108654.4	gene_4628
ENSG00000108654.5	gene_4629
ENSG00000108654.6	gene_4630
ENSG00000108654.7	gene_4631
ENSG00000108666.1	gene_4632
ENSG00000108669.1	gene_4633
ENSG00000108671.1	gene_4634
ENSG00000108679.1	gene_4635
ENSG00000108684.1	gene_4636
ENSG00000108691.1	gene_4637
ENSG00000108700.1	gene_4638
ENSG00000108702.1	gene_4639
ENSG00000108733.1	gene_4640
ENSG00000108759.1	gene_4641
ENSG00000108771.1	gene_4642
ENSG00000108773.1	gene_4643
ENSG00000108774.1	gene_4644
ENSG00000108784.1	gene_4645
ENSG00000108786.1	gene_4646
ENSG00000108788.1	gene_4647
ENSG00000108797.1	gene_4648
ENSG00000108798.1	gene_4649
ENSG00000108799.1	gene_4650
ENSG00000108813.1	gene_4651
ENSG00000108819.1	gene_4652
ENSG00000108821.1	gene_4653
ENSG00000108823.1	gene_4654
ENSG00000108826.1	gene_4655
ENSG00000108826.2	gene_4656
ENSG00000108828.1	gene_4657
ENSG00000108829.1	gene_4658
ENSG00000108830.1	gene_4659
ENSG00000108839.1	gene_4660
ENSG00000108839.2	gene_4661
ENSG00000108839.3	gene_4662
ENSG00000108839.4	gene_4663
ENSG00000108839.5	gene_4664
ENSG00000108839.6	gene_4665
ENSG00000108839.7	gene_4666
ENSG00000108839.8	gene_4667
ENSG00000108839.9	gene_4668
ENSG00000108840.1	gene_4669
ENSG00000108846.1	gene_4670
ENSG00000108848.1	gene_4671
ENSG00000108852.1	gene_4672
ENSG00000108854.1	gene_4673
ENSG00000108861.1	gene_4674
ENSG00000108878.1	gene_4675
ENSG00000108883.1	gene_4676
ENSG00000108924.1	gene_4677
ENSG00000108932.1	gene_4678
ENSG00000108946.1	gene_4679
ENSG00000108947.1	gene_4680
ENSG00000108950.1	gene_4681
ENSG00000108953.1	gene_4682
ENSG00000108960.1	gene_4683
ENSG00000108960.2	gene_4684
ENSG00000108963.1	gene_4685
ENSG00000108963.2	gene_4686
ENSG00000108984.1	gene_4687
ENSG00000109016.1	gene_4688
ENSG00000109046.1	gene_4689
ENSG00000109047.1	gene_4690
ENSG00000109061.1	gene_4691
ENSG00000109062.1	gene_4692
ENSG00000109063.1	gene_4693
ENSG00000109063.2	gene_4694
ENSG00000109065.1	gene_4695
ENSG00000109066.1	gene_4696
ENSG00000109072.1	gene_4697
ENSG00000109079.1	gene_4698
ENSG00000109083.1	gene_4699
ENSG00000109083.2	gene_4700
ENSG00000109084.1	gene_4701
ENSG00000109089.1	gene_4702
ENSG00000109101.1	gene_4703
ENSG00000109103.1	gene_4704
ENSG00000109107.1	gene_4705
ENSG00000109111.1	gene_4706
ENSG00000109113.1	gene_4707
ENSG00000109118.1	gene_4708
ENSG00000109132.1	gene_4709
ENSG00000109133.1	gene_4710
ENSG00000109158.1	gene_4711
ENSG00000109163.1	gene_4712
ENSG00000109171.1	gene_4713
ENSG00000109180.1	gene_4714
ENSG00000109182.1	gene_4715
ENSG00000109184.1	gene_4716
ENSG00000109189.1	gene_4717
ENSG00000109193.1	gene_4718
ENSG00000109205.1	gene_4719
ENSG00000109220.1	gene_4720
ENSG00000109255.1	gene_4721
ENSG00000109265.1	gene_4722
ENSG00000109270.1	gene_4723
ENSG00000109320.1	gene_4724
ENSG00000109321.1	gene_4725
ENSG00000109323.1	gene_4726
ENSG00000109332.1	gene_4727
ENSG00000109339.1	gene_4728
ENSG00000109381.1	gene_4729
ENSG00000109390.1	gene_4730
ENSG00000109424.1	gene_4731
ENSG00000109436.1	gene_4732
ENSG00000109445.1	gene_4733
ENSG00000109452.1	gene_4734
ENSG00000109458.1	gene_4735
ENSG00000109466.1	gene_4736
ENSG00000109471.1	gene_4737
ENSG00000109472.1	gene_4738
ENSG00000109475.1	gene_4739
ENSG00000109475.2	gene_4740
ENSG00000109501.1	gene_4741
ENSG00000109511.1	gene_4742
ENSG00000109519.1	gene_4743
ENSG00000109534.1	gene_4744
ENSG00000109536.1	gene_4745
ENSG00000109572.1	gene_4746
ENSG00000109576.1	gene_4747
ENSG00000109586.1	gene_4748
ENSG00000109606.1	gene_4749
ENSG00000109610.1	gene_4750
ENSG00000109618.1	gene_4751
ENSG00000109625.1	gene_4752
ENSG00000109625.2	gene_4753
ENSG00000109667.1	gene_4754
ENSG00000109670.1	gene_4755
ENSG00000109674.1	gene_4756
ENSG00000109680.1	gene_4757
ENSG00000109684.1	gene_4758
ENSG00000109685.1	gene_4759
ENSG00000109686.1	gene_4760
ENSG00000109686.2	gene_4761
ENSG00000109689.1	gene_4762
ENSG00000109705.1	gene_4763
ENSG00000109736.1	gene_4764
ENSG00000109738.1	gene_4765
ENSG00000109743.1	gene_4766
ENSG00000109756.1	gene_4767
ENSG00000109758.1	gene_4768
ENSG00000109762.1	gene_4769
ENSG00000109771.1	gene_4770
ENSG00000109775.1	gene_4771
ENSG00000109787.1	gene_4772
ENSG00000109790.1	gene_4773
ENSG00000109794.1	gene_4774
ENSG00000109805.1	gene_4775
ENSG00000109814.1	gene_4776
ENSG00000109819.1	gene_4777
ENSG00000109832.1	gene_4778
ENSG00000109846.1	gene_4779
ENSG00000109851.1	gene_4780
ENSG00000109854.1	gene_4781
ENSG00000109861.1	gene_4782
ENSG00000109881.1	gene_4783
ENSG00000109906.1	gene_4784
ENSG00000109911.1	gene_4785
ENSG00000109917.1	gene_4786
ENSG00000109919.1	gene_4787
ENSG00000109920.1	gene_4788
ENSG00000109927.1	gene_4789
ENSG00000109929.1	gene_4790
ENSG00000109943.1	gene_4791
ENSG00000109944.1	gene_4792
ENSG00000109956.1	gene_4793
ENSG00000109971.1	gene_4794
ENSG00000109971.2	gene_4795
ENSG00000109971.3	gene_4796
ENSG00000109971.4	gene_4797
ENSG00000109971.5	gene_4798
ENSG00000109991.1	gene_4799
ENSG00000110002.1	gene_4800
ENSG00000110002.2	gene_4801
ENSG00000110011.1	gene_4802
ENSG00000110013.1	gene_4803
ENSG00000110025.1	gene_4804
ENSG00000110031.1	gene_4805
ENSG00000110042.1	gene_4806
ENSG00000110046.1	gene_4807
ENSG00000110047.1	gene_4808
ENSG00000110048.1	gene_4809
ENSG00000110057.1	gene_4810
ENSG00000110060.1	gene_4811
ENSG00000110063.1	gene_4812
ENSG00000110066.1	gene_4813
ENSG00000110074.1	gene_4814
ENSG00000110075.1	gene_4815
ENSG00000110076.1	gene_4816
ENSG00000110080.1	gene_4817
ENSG00000110090.1	gene_4818
ENSG00000110092.1	gene_4819
ENSG00000110104.1	gene_4820
ENSG00000110107.1	gene_4821
ENSG00000110108.1	gene_4822
ENSG00000110148.1	gene_4823
ENSG00000110169.1	gene_4824
ENSG00000110171.1	gene_4825
ENSG00000110172.1	gene_4826
ENSG00000110195.1	gene_4827
ENSG00000110195.2	gene_4828
ENSG00000110200.1	gene_4829
ENSG00000110203.1	gene_4830
ENSG00000110218.1	gene_4831
ENSG00000110237.1	gene_4832
ENSG00000110243.1	gene_4833
ENSG00000110244.1	gene_4834
ENSG00000110245.1	gene_4835
ENSG00000110274.1	gene_4836
ENSG00000110274.2	gene_4837
ENSG00000110274.3	gene_4838
ENSG00000110315.1	gene_4839
ENSG00000110318.1	gene_4840
ENSG00000110321.1	gene_4841
ENSG00000110324.1	gene_4842
ENSG00000110328.1	gene_4843
ENSG00000110330.1	gene_4844
ENSG00000110344.1	gene_4845
ENSG00000110367.1	gene_4846
ENSG00000110375.1	gene_4847
ENSG00000110395.1	gene_4848
ENSG00000110400.1	gene_4849
ENSG00000110422.1	gene_4850
ENSG00000110427.1	gene_4851
ENSG00000110429.1	gene_4852
ENSG00000110435.1	gene_4853
ENSG00000110436.1	gene_4854
ENSG00000110442.1	gene_4855
ENSG00000110446.1	gene_4856
ENSG00000110448.1	gene_4857
ENSG00000110455.1	gene_4858
ENSG00000110484.1	gene_4859
ENSG00000110484.2	gene_4860
ENSG00000110484.3	gene_4861
ENSG00000110484.4	gene_4862
ENSG00000110484.5	gene_4863
ENSG00000110492.1	gene_4864
ENSG00000110497.1	gene_4865
ENSG00000110514.1	gene_4866
ENSG00000110536.1	gene_4867
ENSG00000110536.2	gene_4868
ENSG00000110583.1	gene_4869
ENSG00000110619.1	gene_4870
ENSG00000110628.1	gene_4871
ENSG00000110651.1	gene_4872
ENSG00000110660.1	gene_4873
ENSG00000110660.2	gene_4874
ENSG00000110675.1	gene_4875
ENSG00000110680.1	gene_4876
ENSG00000110693.1	gene_4877
ENSG00000110696.1	gene_4878
ENSG00000110697.1	gene_4879
ENSG00000110700.1	gene_4880
ENSG00000110700.2	gene_4881
ENSG00000110700.3	gene_4882
ENSG00000110700.4	gene_4883
ENSG00000110711.1	gene_4884
ENSG00000110713.1	gene_4885
ENSG00000110717.1	gene_4886
ENSG00000110719.1	gene_4887
ENSG00000110719.2	gene_4888
ENSG00000110721.1	gene_4889
ENSG00000110723.1	gene_4890
ENSG00000110756.1	gene_4891
ENSG00000110768.1	gene_4892
ENSG00000110768.2	gene_4893
ENSG00000110777.1	gene_4894
ENSG00000110786.1	gene_4895
ENSG00000110799.1	gene_4896
ENSG00000110799.2	gene_4897
ENSG00000110801.1	gene_4898
ENSG00000110801.2	gene_4899
ENSG00000110811.1	gene_4900
ENSG00000110841.1	gene_4901
ENSG00000110844.1	gene_4902
ENSG00000110848.1	gene_4903
ENSG00000110851.1	gene_4904
ENSG00000110852.1	gene_4905
ENSG00000110871.1	gene_4906
ENSG00000110876.1	gene_4907
ENSG00000110876.2	gene_4908
ENSG00000110880.1	gene_4909
ENSG00000110881.1	gene_4910
ENSG00000110887.1	gene_4911
ENSG00000110888.1	gene_4912
ENSG00000110900.1	gene_4913
ENSG00000110906.1	gene_4914
ENSG00000110911.1	gene_4915
ENSG00000110917.1	gene_4916
ENSG00000110921.1	gene_4917
ENSG00000110925.1	gene_4918
ENSG00000110931.1	gene_4919
ENSG00000110934.1	gene_4920
ENSG00000110934.2	gene_4921
ENSG00000110944.1	gene_4922
ENSG00000110955.1	gene_4923
ENSG00000110955.2	gene_4924
ENSG00000110955.3	gene_4925
ENSG00000110958.1	gene_4926
ENSG00000110975.1	gene_4927
ENSG00000110987.1	gene_4928
ENSG00000111011.1	gene_4929
ENSG00000111012.1	gene_4930
ENSG00000111046.1	gene_4931
ENSG00000111049.1	gene_4932
ENSG00000111052.1	gene_4933
ENSG00000111057.1	gene_4934
ENSG00000111057.2	gene_4935
ENSG00000111057.3	gene_4936
ENSG00000111058.1	gene_4937
ENSG00000111077.1	gene_4938
ENSG00000111087.1	gene_4939
ENSG00000111110.1	gene_4940
ENSG00000111142.1	gene_4941
ENSG00000111144.1	gene_4942
ENSG00000111145.1	gene_4943
ENSG00000111181.1	gene_4944
ENSG00000111186.1	gene_4945
ENSG00000111196.1	gene_4946
ENSG00000111199.1	gene_4947
ENSG00000111199.2	gene_4948
ENSG00000111203.1	gene_4949
ENSG00000111206.1	gene_4950
ENSG00000111218.1	gene_4951
ENSG00000111218.2	gene_4952
ENSG00000111224.1	gene_4953
ENSG00000111229.1	gene_4954
ENSG00000111231.1	gene_4955
ENSG00000111231.2	gene_4956
ENSG00000111237.1	gene_4957
ENSG00000111241.1	gene_4958
ENSG00000111245.1	gene_4959
ENSG00000111247.1	gene_4960
ENSG00000111249.1	gene_4961
ENSG00000111252.1	gene_4962
ENSG00000111254.1	gene_4963
ENSG00000111261.1	gene_4964
ENSG00000111262.1	gene_4965
ENSG00000111266.1	gene_4966
ENSG00000111269.1	gene_4967
ENSG00000111271.1	gene_4968
ENSG00000111275.1	gene_4969
ENSG00000111276.1	gene_4970
ENSG00000111291.1	gene_4971
ENSG00000111300.1	gene_4972
ENSG00000111305.1	gene_4973
ENSG00000111319.1	gene_4974
ENSG00000111321.1	gene_4975
ENSG00000111325.1	gene_4976
ENSG00000111328.1	gene_4977
ENSG00000111328.2	gene_4978
ENSG00000111328.3	gene_4979
ENSG00000111328.4	gene_4980
ENSG00000111328.5	gene_4981
ENSG00000111328.6	gene_4982
ENSG00000111331.1	gene_4983
ENSG00000111335.1	gene_4984
ENSG00000111335.2	gene_4985
ENSG00000111339.1	gene_4986
ENSG00000111341.1	gene_4987
ENSG00000111344.1	gene_4988
ENSG00000111344.2	gene_4989
ENSG00000111348.1	gene_4990
ENSG00000111358.1	gene_4991
ENSG00000111361.1	gene_4992
ENSG00000111364.1	gene_4993
ENSG00000111371.1	gene_4994
ENSG00000111404.1	gene_4995
ENSG00000111405.1	gene_4996
ENSG00000111412.1	gene_4997
ENSG00000111424.1	gene_4998
ENSG00000111432.1	gene_4999
ENSG00000111432.2	gene_5000
ENSG00000111445.1	gene_5001
ENSG00000111450.1	gene_5002
ENSG00000111452.1	gene_5003
ENSG00000111481.1	gene_5004
ENSG00000111490.1	gene_5005
ENSG00000111530.1	gene_5006
ENSG00000111536.1	gene_5007
ENSG00000111537.1	gene_5008
ENSG00000111540.1	gene_5009
ENSG00000111554.1	gene_5010
ENSG00000111581.1	gene_5011
ENSG00000111596.1	gene_5012
ENSG00000111602.1	gene_5013
ENSG00000111605.1	gene_5014
ENSG00000111605.2	gene_5015
ENSG00000111605.3	gene_5016
ENSG00000111605.4	gene_5017
ENSG00000111605.5	gene_5018
ENSG00000111615.1	gene_5019
ENSG00000111639.1	gene_5020
ENSG00000111640.1	gene_5021
ENSG00000111640.2	gene_5022
ENSG00000111640.3	gene_5023
ENSG00000111640.4	gene_5024
ENSG00000111641.1	gene_5025
ENSG00000111642.1	gene_5026
ENSG00000111644.1	gene_5027
ENSG00000111647.1	gene_5028
ENSG00000111647.2	gene_5029
ENSG00000111647.3	gene_5030
ENSG00000111652.1	gene_5031
ENSG00000111653.1	gene_5032
ENSG00000111653.2	gene_5033
ENSG00000111664.1	gene_5034
ENSG00000111665.1	gene_5035
ENSG00000111666.1	gene_5036
ENSG00000111667.1	gene_5037
ENSG00000111669.1	gene_5038
ENSG00000111669.2	gene_5039
ENSG00000111670.1	gene_5040
ENSG00000111671.1	gene_5041
ENSG00000111674.1	gene_5042
ENSG00000111676.1	gene_5043
ENSG00000111678.1	gene_5044
ENSG00000111679.1	gene_5045
ENSG00000111684.1	gene_5046
ENSG00000111696.1	gene_5047
ENSG00000111700.1	gene_5048
ENSG00000111701.1	gene_5049
ENSG00000111707.1	gene_5050
ENSG00000111711.1	gene_5051
ENSG00000111713.1	gene_5052
ENSG00000111716.1	gene_5053
ENSG00000111725.1	gene_5054
ENSG00000111726.1	gene_5055
ENSG00000111727.1	gene_5056
ENSG00000111728.1	gene_5057
ENSG00000111729.1	gene_5058
ENSG00000111731.1	gene_5059
ENSG00000111732.1	gene_5060
ENSG00000111737.1	gene_5061
ENSG00000111752.1	gene_5062
ENSG00000111775.1	gene_5063
ENSG00000111775.2	gene_5064
ENSG00000111783.1	gene_5065
ENSG00000111785.1	gene_5066
ENSG00000111786.1	gene_5067
ENSG00000111790.1	gene_5068
ENSG00000111799.1	gene_5069
ENSG00000111801.1	gene_5070
ENSG00000111801.10	gene_5071
ENSG00000111801.11	gene_5072
ENSG00000111801.12	gene_5073
ENSG00000111801.13	gene_5074
ENSG00000111801.14	gene_5075
ENSG00000111801.15	gene_5076
ENSG00000111801.16	gene_5077
ENSG00000111801.2	gene_5078
ENSG00000111801.3	gene_5079
ENSG00000111801.4	gene_5080
ENSG00000111801.5	gene_5081
ENSG00000111801.6	gene_5082
ENSG00000111801.7	gene_5083
ENSG00000111801.8	gene_5084
ENSG00000111801.9	gene_5085
ENSG00000111802.1	gene_5086
ENSG00000111816.1	gene_5087
ENSG00000111817.1	gene_5088
ENSG00000111832.1	gene_5089
ENSG00000111834.1	gene_5090
ENSG00000111837.1	gene_5091
ENSG00000111843.1	gene_5092
ENSG00000111845.1	gene_5093
ENSG00000111846.1	gene_5094
ENSG00000111850.1	gene_5095
ENSG00000111859.1	gene_5096
ENSG00000111860.1	gene_5097
ENSG00000111860.2	gene_5098
ENSG00000111863.1	gene_5099
ENSG00000111877.1	gene_5100
ENSG00000111877.2	gene_5101
ENSG00000111879.1	gene_5102
ENSG00000111880.1	gene_5103
ENSG00000111885.1	gene_5104
ENSG00000111886.1	gene_5105
ENSG00000111897.1	gene_5106
ENSG00000111906.1	gene_5107
ENSG00000111907.1	gene_5108
ENSG00000111911.1	gene_5109
ENSG00000111911.2	gene_5110
ENSG00000111912.1	gene_5111
ENSG00000111913.1	gene_5112
ENSG00000111961.1	gene_5113
ENSG00000111961.2	gene_5114
ENSG00000111962.1	gene_5115
ENSG00000111981.1	gene_5116
ENSG00000111981.2	gene_5117
ENSG00000111981.3	gene_5118
ENSG00000111981.4	gene_5119
ENSG00000111981.5	gene_5120
ENSG00000111981.6	gene_5121
ENSG00000112029.1	gene_5122
ENSG00000112031.1	gene_5123
ENSG00000112033.1	gene_5124
ENSG00000112038.1	gene_5125
ENSG00000112039.1	gene_5126
ENSG00000112053.1	gene_5127
ENSG00000112062.1	gene_5128
ENSG00000112077.1	gene_5129
ENSG00000112078.1	gene_5130
ENSG00000112078.2	gene_5131
ENSG00000112079.1	gene_5132
ENSG00000112081.1	gene_5133
ENSG00000112081.2	gene_5134
ENSG00000112081.3	gene_5135
ENSG00000112110.1	gene_5136
ENSG00000112115.1	gene_5137
ENSG00000112116.1	gene_5138
ENSG00000112118.1	gene_5139
ENSG00000112130.1	gene_5140
ENSG00000112137.1	gene_5141
ENSG00000112139.1	gene_5142
ENSG00000112144.1	gene_5143
ENSG00000112146.1	gene_5144
ENSG00000112149.1	gene_5145
ENSG00000112159.1	gene_5146
ENSG00000112164.1	gene_5147
ENSG00000112167.1	gene_5148
ENSG00000112175.1	gene_5149
ENSG00000112182.1	gene_5150
ENSG00000112183.1	gene_5151
ENSG00000112186.1	gene_5152
ENSG00000112195.1	gene_5153
ENSG00000112200.1	gene_5154
ENSG00000112208.1	gene_5155
ENSG00000112210.1	gene_5156
ENSG00000112212.1	gene_5157
ENSG00000112214.1	gene_5158
ENSG00000112218.1	gene_5159
ENSG00000112232.1	gene_5160
ENSG00000112234.1	gene_5161
ENSG00000112237.1	gene_5162
ENSG00000112238.1	gene_5163
ENSG00000112242.1	gene_5164
ENSG00000112245.1	gene_5165
ENSG00000112245.2	gene_5166
ENSG00000112245.3	gene_5167
ENSG00000112245.4	gene_5168
ENSG00000112246.1	gene_5169
ENSG00000112249.1	gene_5170
ENSG00000112273.1	gene_5171
ENSG00000112276.1	gene_5172
ENSG00000112280.1	gene_5173
ENSG00000112282.1	gene_5174
ENSG00000112290.1	gene_5175
ENSG00000112293.1	gene_5176
ENSG00000112294.1	gene_5177
ENSG00000112297.1	gene_5178
ENSG00000112299.1	gene_5179
ENSG00000112299.2	gene_5180
ENSG00000112303.1	gene_5181
ENSG00000112304.1	gene_5182
ENSG00000112305.1	gene_5183
ENSG00000112306.1	gene_5184
ENSG00000112306.2	gene_5185
ENSG00000112306.3	gene_5186
ENSG00000112308.1	gene_5187
ENSG00000112309.1	gene_5188
ENSG00000112312.1	gene_5189
ENSG00000112312.2	gene_5190
ENSG00000112319.1	gene_5191
ENSG00000112320.1	gene_5192
ENSG00000112333.1	gene_5193
ENSG00000112335.1	gene_5194
ENSG00000112337.1	gene_5195
ENSG00000112339.1	gene_5196
ENSG00000112343.1	gene_5197
ENSG00000112343.2	gene_5198
ENSG00000112343.3	gene_5199
ENSG00000112343.4	gene_5200
ENSG00000112343.5	gene_5201
ENSG00000112343.6	gene_5202
ENSG00000112343.7	gene_5203
ENSG00000112343.8	gene_5204
ENSG00000112357.1	gene_5205
ENSG00000112365.1	gene_5206
ENSG00000112367.1	gene_5207
ENSG00000112378.1	gene_5208
ENSG00000112379.1	gene_5209
ENSG00000112394.1	gene_5210
ENSG00000112406.1	gene_5211
ENSG00000112414.1	gene_5212
ENSG00000112419.1	gene_5213
ENSG00000112425.1	gene_5214
ENSG00000112473.1	gene_5215
ENSG00000112486.1	gene_5216
ENSG00000112494.1	gene_5217
ENSG00000112499.1	gene_5218
ENSG00000112511.1	gene_5219
ENSG00000112514.1	gene_5220
ENSG00000112530.1	gene_5221
ENSG00000112530.2	gene_5222
ENSG00000112531.1	gene_5223
ENSG00000112539.1	gene_5224
ENSG00000112541.1	gene_5225
ENSG00000112559.1	gene_5226
ENSG00000112561.1	gene_5227
ENSG00000112562.1	gene_5228
ENSG00000112562.2	gene_5229
ENSG00000112576.1	gene_5230
ENSG00000112578.1	gene_5231
ENSG00000112584.1	gene_5232
ENSG00000112592.1	gene_5233
ENSG00000112599.1	gene_5234
ENSG00000112619.1	gene_5235
ENSG00000112624.1	gene_5236
ENSG00000112640.1	gene_5237
ENSG00000112651.1	gene_5238
ENSG00000112655.1	gene_5239
ENSG00000112658.1	gene_5240
ENSG00000112659.1	gene_5241
ENSG00000112667.1	gene_5242
ENSG00000112679.1	gene_5243
ENSG00000112685.1	gene_5244
ENSG00000112695.1	gene_5245
ENSG00000112695.2	gene_5246
ENSG00000112697.1	gene_5247
ENSG00000112697.2	gene_5248
ENSG00000112699.1	gene_5249
ENSG00000112701.1	gene_5250
ENSG00000112706.1	gene_5251
ENSG00000112715.1	gene_5252
ENSG00000112739.1	gene_5253
ENSG00000112739.2	gene_5254
ENSG00000112742.1	gene_5255
ENSG00000112759.1	gene_5256
ENSG00000112761.1	gene_5257
ENSG00000112763.1	gene_5258
ENSG00000112769.1	gene_5259
ENSG00000112773.1	gene_5260
ENSG00000112782.1	gene_5261
ENSG00000112782.2	gene_5262
ENSG00000112787.1	gene_5263
ENSG00000112796.1	gene_5264
ENSG00000112799.1	gene_5265
ENSG00000112812.1	gene_5266
ENSG00000112818.1	gene_5267
ENSG00000112837.1	gene_5268
ENSG00000112851.1	gene_5269
ENSG00000112852.1	gene_5270
ENSG00000112855.1	gene_5271
ENSG00000112874.1	gene_5272
ENSG00000112877.1	gene_5273
ENSG00000112893.1	gene_5274
ENSG00000112902.1	gene_5275
ENSG00000112936.1	gene_5276
ENSG00000112941.1	gene_5277
ENSG00000112964.1	gene_5278
ENSG00000112972.1	gene_5279
ENSG00000112977.1	gene_5280
ENSG00000112977.2	gene_5281
ENSG00000112981.1	gene_5282
ENSG00000112983.1	gene_5283
ENSG00000112984.1	gene_5284
ENSG00000112992.1	gene_5285
ENSG00000112996.1	gene_5286
ENSG00000113013.1	gene_5287
ENSG00000113048.1	gene_5288
ENSG00000113048.2	gene_5289
ENSG00000113068.1	gene_5290
ENSG00000113068.2	gene_5291
ENSG00000113070.1	gene_5292
ENSG00000113073.1	gene_5293
ENSG00000113083.1	gene_5294
ENSG00000113088.1	gene_5295
ENSG00000113100.1	gene_5296
ENSG00000113108.1	gene_5297
ENSG00000113119.1	gene_5298
ENSG00000113140.1	gene_5299
ENSG00000113141.1	gene_5300
ENSG00000113161.1	gene_5301
ENSG00000113163.1	gene_5302
ENSG00000113194.1	gene_5303
ENSG00000113196.1	gene_5304
ENSG00000113205.1	gene_5305
ENSG00000113209.1	gene_5306
ENSG00000113211.1	gene_5307
ENSG00000113212.1	gene_5308
ENSG00000113231.1	gene_5309
ENSG00000113240.1	gene_5310
ENSG00000113248.1	gene_5311
ENSG00000113249.1	gene_5312
ENSG00000113249.2	gene_5313
ENSG00000113262.1	gene_5314
ENSG00000113263.1	gene_5315
ENSG00000113269.1	gene_5316
ENSG00000113272.1	gene_5317
ENSG00000113273.1	gene_5318
ENSG00000113282.1	gene_5319
ENSG00000113296.1	gene_5320
ENSG00000113296.2	gene_5321
ENSG00000113300.1	gene_5322
ENSG00000113302.1	gene_5323
ENSG00000113303.1	gene_5324
ENSG00000113312.1	gene_5325
ENSG00000113318.1	gene_5326
ENSG00000113319.1	gene_5327
ENSG00000113327.1	gene_5328
ENSG00000113328.1	gene_5329
ENSG00000113356.1	gene_5330
ENSG00000113360.1	gene_5331
ENSG00000113361.1	gene_5332
ENSG00000113368.1	gene_5333
ENSG00000113369.1	gene_5334
ENSG00000113384.1	gene_5335
ENSG00000113384.2	gene_5336
ENSG00000113387.1	gene_5337
ENSG00000113387.2	gene_5338
ENSG00000113389.1	gene_5339
ENSG00000113391.1	gene_5340
ENSG00000113391.2	gene_5341
ENSG00000113396.1	gene_5342
ENSG00000113407.1	gene_5343
ENSG00000113430.1	gene_5344
ENSG00000113441.1	gene_5345
ENSG00000113448.1	gene_5346
ENSG00000113448.2	gene_5347
ENSG00000113456.1	gene_5348
ENSG00000113460.1	gene_5349
ENSG00000113492.1	gene_5350
ENSG00000113494.1	gene_5351
ENSG00000113504.1	gene_5352
ENSG00000113520.1	gene_5353
ENSG00000113522.1	gene_5354
ENSG00000113525.1	gene_5355
ENSG00000113532.1	gene_5356
ENSG00000113552.1	gene_5357
ENSG00000113552.2	gene_5358
ENSG00000113555.1	gene_5359
ENSG00000113558.1	gene_5360
ENSG00000113558.2	gene_5361
ENSG00000113558.3	gene_5362
ENSG00000113558.4	gene_5363
ENSG00000113558.5	gene_5364
ENSG00000113558.6	gene_5365
ENSG00000113569.1	gene_5366
