velifer_IDmodified-gene-14 ENSG00000185385.35
velifer_evm.TU.SUPER__18.377 ENSG00000196289.4
velifer_evm.TU.SUPER__18.378 ENSG00000104412.1
velifer_evm.TU.SUPER__18.379 ENSG00000104408.1
velifer_evm.TU.SUPER__18.381 ENSG00000147655.1
velifer_evm.TU.SUPER__18.384 ENSG00000154188.1
velifer_evm.TU.SUPER__18.398 ENSG00000283439.2
velifer_evm.TU.SUPER__18.4 ENSG00000104327.1
velifer_evm.TU.SUPER__18.402 ENSG00000174429.1
velifer_evm.TU.SUPER__18.408 ENSG00000147650.1
velifer_evm.TU.SUPER__18.41 ENSG00000123064.2
velifer_evm.TU.SUPER__18.411 ENSG00000164935.1
velifer_evm.TU.SUPER__18.413 ENSG00000176406.1
velifer_evm.TU.SUPER__18.415 ENSG00000164933.1
velifer_evm.TU.SUPER__18.416 ENSG00000164932.1
velifer_evm.TU.SUPER__18.417 ENSG00000164930.1
velifer_evm.TU.SUPER__18.419 ENSG00000155097.1
velifer_evm.TU.SUPER__18.421 ENSG00000155096.1
velifer_evm.TU.SUPER__18.424 ENSG00000155090.1
velifer_evm.TU.SUPER__18.425 ENSG00000155087.1
velifer_evm.TU.SUPER__18.426 ENSG00000104517.1
velifer_evm.TU.SUPER__18.427 ENSG00000048392.1
velifer_evm.TU.SUPER__18.429 ENSG00000118412.1
velifer_evm.TU.SUPER__18.433 ENSG00000083307.1
velifer_evm.TU.SUPER__18.437 ENSG00000120963.1
velifer_evm.TU.SUPER__18.439 ENSG00000164924.1
velifer_evm.TU.SUPER__18.440 ENSG00000070756.1
velifer_evm.TU.SUPER__18.442 ENSG00000174226.1
velifer_evm.TU.SUPER__18.446 ENSG00000034677.1
velifer_evm.TU.SUPER__18.447 ENSG00000104450.1
velifer_evm.TU.SUPER__18.448 ENSG00000147669.3
velifer_evm.TU.SUPER__18.451 ENSG00000132554.1
velifer_evm.TU.SUPER__18.452 ENSG00000164919.1
velifer_evm.TU.SUPER__18.453 ENSG00000132549.1
velifer_evm.TU.SUPER__18.456 ENSG00000104375.1
velifer_evm.TU.SUPER__18.458 ENSG00000156486.1
velifer_evm.TU.SUPER__18.461 ENSG00000104361.1
velifer_evm.TU.SUPER__18.462 ENSG00000104356.1
velifer_evm.TU.SUPER__18.463 ENSG00000132541.1
velifer_evm.TU.SUPER__18.466 ENSG00000156482.1
velifer_evm.TU.SUPER__18.467 ENSG00000132561.1
velifer_evm.TU.SUPER__18.469 ENSG00000147649.1
velifer_evm.TU.SUPER__18.470 ENSG00000196367.2
velifer_evm.TU.SUPER__18.471 ENSG00000180543.1
velifer_evm.TU.SUPER__18.473 ENSG00000104324.1
velifer_evm.TU.SUPER__18.474 ENSG00000169439.1
velifer_evm.TU.SUPER__18.475 ENSG00000156471.1
velifer_evm.TU.SUPER__18.476 ENSG00000156469.1
velifer_evm.TU.SUPER__18.478 ENSG00000156466.1
velifer_evm.TU.SUPER__18.486 ENSG00000198242.4
velifer_evm.TU.SUPER__18.487 ENSG00000156172.1
velifer_evm.TU.SUPER__18.489 ENSG00000175895.1
velifer_evm.TU.SUPER__18.49 ENSG00000104497.1
velifer_evm.TU.SUPER__18.491 ENSG00000156170.1
velifer_evm.TU.SUPER__18.493 ENSG00000175305.1
velifer_evm.TU.SUPER__18.495 ENSG00000156162.1
velifer_evm.TU.SUPER__18.497 ENSG00000164944.1
velifer_evm.TU.SUPER__18.498 ENSG00000197275.2
velifer_evm.TU.SUPER__18.499 ENSG00000164949.1
velifer_evm.TU.SUPER__18.5 ENSG00000104325.1
velifer_evm.TU.SUPER__18.50 ENSG00000164695.1
velifer_evm.TU.SUPER__18.500 ENSG00000079112.1
velifer_evm.TU.SUPER__18.502 ENSG00000164951.1
velifer_evm.TU.SUPER__18.505 ENSG00000183808.1
velifer_evm.TU.SUPER__18.509 ENSG00000205133.1
velifer_evm.TU.SUPER__18.51 ENSG00000104231.1
velifer_evm.TU.SUPER__18.519 ENSG00000147606.1
velifer_evm.TU.SUPER__18.520 ENSG00000214954.1
velifer_evm.TU.SUPER__18.523 ENSG00000147481.1
velifer_evm.TU.SUPER__18.524 ENSG00000168300.1
velifer_evm.TU.SUPER__18.525 ENSG00000168333.1
velifer_evm.TU.SUPER__18.53 ENSG00000133731.1
velifer_evm.TU.SUPER__18.531 ENSG00000161920.3
velifer_evm.TU.SUPER__18.540 ENSG00000167914.2
velifer_evm.TU.SUPER__18.542 ENSG00000147697.1
velifer_evm.TU.SUPER__18.55 ENSG00000170323.1
velifer_evm.TU.SUPER__18.550 ENSG00000132294.1
velifer_evm.TU.SUPER__18.551 ENSG00000258417.1
velifer_evm.TU.SUPER__18.553 ENSG00000184156.1
velifer_evm.TU.SUPER__18.558 ENSG00000129292.1
velifer_evm.TU.SUPER__18.559 ENSG00000042832.2
velifer_evm.TU.SUPER__18.56 ENSG00000205186.1
velifer_evm.TU.SUPER__18.560 ENSG00000104415.1
velifer_evm.TU.SUPER__18.561 ENSG00000104419.2
velifer_evm.TU.SUPER__18.562 ENSG00000008513.1
velifer_evm.TU.SUPER__18.565 ENSG00000066827.1
velifer_evm.TU.SUPER__18.569 ENSG00000131773.1
velifer_evm.TU.SUPER__18.57 ENSG00000147588.1
velifer_evm.TU.SUPER__18.578 ENSG00000169436.1
velifer_evm.TU.SUPER__18.582 ENSG00000169427.1
velifer_evm.TU.SUPER__18.583 ENSG00000167632.1
velifer_evm.TU.SUPER__18.584 ENSG00000104472.1
velifer_evm.TU.SUPER__18.585 ENSG00000123908.1
velifer_evm.TU.SUPER__18.586 ENSG00000169398.1
velifer_evm.TU.SUPER__18.587 ENSG00000105339.1
velifer_evm.TU.SUPER__18.588 ENSG00000022567.1
velifer_evm.TU.SUPER__18.59 ENSG00000164687.2
velifer_evm.TU.SUPER__18.590 ENSG00000204882.1
velifer_evm.TU.SUPER__18.598 ENSG00000179832.1
velifer_evm.TU.SUPER__18.6 ENSG00000104320.1
velifer_evm.TU.SUPER__18.608 ENSG00000171045.1
velifer_evm.TU.SUPER__18.610 ENSG00000181790.1
velifer_evm.TU.SUPER__18.611 ENSG00000198734.2
velifer_evm.TU.SUPER__18.612 ENSG00000179832.2
velifer_evm.TU.SUPER__18.613 ENSG00000198576.1
velifer_evm.TU.SUPER__18.615 ENSG00000130193.1
velifer_evm.TU.SUPER__18.616 ENSG00000197353.1
velifer_evm.TU.SUPER__18.617 ENSG00000180155.1
velifer_evm.TU.SUPER__18.618 ENSG00000167656.1
velifer_evm.TU.SUPER__18.619 ENSG00000180155.2
velifer_evm.TU.SUPER__18.620 ENSG00000198734.3
velifer_evm.TU.SUPER__18.621 ENSG00000104499.1
velifer_evm.TU.SUPER__18.622 ENSG00000160886.1
velifer_evm.TU.SUPER__18.623 ENSG00000179142.1
velifer_evm.TU.SUPER__18.625 ENSG00000160932.1
velifer_evm.TU.SUPER__18.626 ENSG00000261667.1
velifer_evm.TU.SUPER__18.627 ENSG00000176956.1
velifer_evm.TU.SUPER__18.628 ENSG00000176956.2
velifer_evm.TU.SUPER__18.629 ENSG00000277494.1
velifer_evm.TU.SUPER__18.63 ENSG00000076641.1
velifer_evm.TU.SUPER__18.631 ENSG00000158106.1
velifer_evm.TU.SUPER__18.633 ENSG00000182759.1
velifer_evm.TU.SUPER__18.634 ENSG00000014164.2
velifer_evm.TU.SUPER__18.635 ENSG00000104518.1
velifer_evm.TU.SUPER__18.636 ENSG00000204839.1
velifer_evm.TU.SUPER__18.637 ENSG00000147813.1
velifer_evm.TU.SUPER__18.639 ENSG00000179886.1
velifer_evm.TU.SUPER__18.64 ENSG00000164684.1
velifer_evm.TU.SUPER__18.640 ENSG00000104524.1
velifer_evm.TU.SUPER__18.641 ENSG00000104522.1
velifer_evm.TU.SUPER__18.642 ENSG00000255181.1
velifer_evm.TU.SUPER__18.643 ENSG00000181085.1
velifer_evm.TU.SUPER__18.644 ENSG00000180921.1
velifer_evm.TU.SUPER__18.645 ENSG00000203499.1
velifer_evm.TU.SUPER__18.646 ENSG00000180900.1
velifer_evm.TU.SUPER__18.647 ENSG00000179950.1
velifer_evm.TU.SUPER__18.648 ENSG00000185189.1
velifer_evm.TU.SUPER__18.649 ENSG00000261150.1
velifer_evm.TU.SUPER__18.65 ENSG00000196262.9
velifer_evm.TU.SUPER__18.650 ENSG00000178209.1
velifer_evm.TU.SUPER__18.651 ENSG00000178685.1
velifer_evm.TU.SUPER__18.652 ENSG00000178719.1
velifer_evm.TU.SUPER__18.654 ENSG00000103056.2
velifer_evm.TU.SUPER__18.655 ENSG00000178814.1
velifer_evm.TU.SUPER__18.656 ENSG00000178896.1
velifer_evm.TU.SUPER__18.657 ENSG00000197858.1
velifer_evm.TU.SUPER__18.658 ENSG00000179091.2
velifer_evm.TU.SUPER__18.659 ENSG00000179526.1
velifer_evm.TU.SUPER__18.661 ENSG00000179698.1
velifer_evm.TU.SUPER__18.662 ENSG00000235173.1
velifer_evm.TU.SUPER__18.663 ENSG00000212122.2
velifer_evm.TU.SUPER__18.665 ENSG00000179832.3
velifer_evm.TU.SUPER__18.666 ENSG00000261236.2
velifer_evm.TU.SUPER__18.667 ENSG00000185122.1
velifer_evm.TU.SUPER__18.668 ENSG00000185000.1
velifer_evm.TU.SUPER__18.669 ENSG00000261678.1
velifer_evm.TU.SUPER__18.67 ENSG00000205189.4
velifer_evm.TU.SUPER__18.670 ENSG00000261587.1
velifer_evm.TU.SUPER__18.671 ENSG00000182325.1
velifer_evm.TU.SUPER__18.672 ENSG00000185803.1
velifer_evm.TU.SUPER__18.673 ENSG00000173137.1
velifer_evm.TU.SUPER__18.674 ENSG00000071894.1
velifer_evm.TU.SUPER__18.675 ENSG00000147804.1
velifer_evm.TU.SUPER__18.677 ENSG00000160949.1
velifer_evm.TU.SUPER__18.678 ENSG00000187954.2
velifer_evm.TU.SUPER__18.681 ENSG00000160973.1
velifer_evm.TU.SUPER__18.683 ENSG00000160972.1
velifer_evm.TU.SUPER__18.684 ENSG00000167701.1
velifer_evm.TU.SUPER__18.685 ENSG00000167700.1
velifer_evm.TU.SUPER__18.686 ENSG00000160957.1
velifer_evm.TU.SUPER__18.687 ENSG00000160959.1
velifer_evm.TU.SUPER__18.688 ENSG00000254402.1
velifer_evm.TU.SUPER__18.690 ENSG00000147799.1
velifer_evm.TU.SUPER__18.691 ENSG00000170619.1
velifer_evm.TU.SUPER__18.7 ENSG00000164823.1
velifer_evm.TU.SUPER__18.73 ENSG00000147586.1
velifer_evm.TU.SUPER__18.75 ENSG00000104435.1
velifer_evm.TU.SUPER__18.76 ENSG00000143633.1
velifer_evm.TU.SUPER__18.78 ENSG00000143549.1
velifer_evm.TU.SUPER__18.8 ENSG00000104312.1
velifer_evm.TU.SUPER__18.81 ENSG00000104432.1
velifer_evm.TU.SUPER__18.82 ENSG00000104427.1
velifer_evm.TU.SUPER__18.83 ENSG00000171033.1
velifer_evm.TU.SUPER__18.84 ENSG00000164808.1
velifer_evm.TU.SUPER__18.85 ENSG00000221869.1
velifer_evm.TU.SUPER__18.86 ENSG00000253729.1
velifer_evm.TU.SUPER__18.87 ENSG00000104738.1
velifer_evm.TU.SUPER__18.88 ENSG00000113068.1
velifer_evm.TU.SUPER__18.89 ENSG00000161980.1
velifer_evm.TU.SUPER__18.90 ENSG00000169139.1
velifer_evm.TU.SUPER__18.97 ENSG00000034239.2
velifer_evm.TU.SUPER__19.10 ENSG00000278677.1
velifer_evm.TU.SUPER__19.1000 ENSG00000143228.1
velifer_evm.TU.SUPER__19.1003 ENSG00000147082.1
velifer_evm.TU.SUPER__19.1008 ENSG00000185860.1
velifer_evm.TU.SUPER__19.1009 ENSG00000132196.1
velifer_evm.TU.SUPER__19.101 ENSG00000162688.1
velifer_evm.TU.SUPER__19.1010 ENSG00000162733.1
velifer_evm.TU.SUPER__19.1011 ENSG00000117143.1
velifer_evm.TU.SUPER__19.1012 ENSG00000152332.1
velifer_evm.TU.SUPER__19.1015 ENSG00000162745.1
velifer_evm.TU.SUPER__19.1017 ENSG00000081721.1
velifer_evm.TU.SUPER__19.1018 ENSG00000162746.1
velifer_evm.TU.SUPER__19.1020 ENSG00000072694.1
velifer_evm.TU.SUPER__19.1021 ENSG00000162747.1
velifer_evm.TU.SUPER__19.1022 ENSG00000072694.2
velifer_evm.TU.SUPER__19.1024 ENSG00000188931.1
velifer_evm.TU.SUPER__19.1025 ENSG00000143252.1
velifer_evm.TU.SUPER__19.1027 ENSG00000248485.1
velifer_evm.TU.SUPER__19.1029 ENSG00000158882.1
velifer_evm.TU.SUPER__19.103 ENSG00000156875.1
velifer_evm.TU.SUPER__19.1030 ENSG00000158874.1
velifer_evm.TU.SUPER__19.1031 ENSG00000158869.1
velifer_evm.TU.SUPER__19.1032 ENSG00000158864.1
velifer_evm.TU.SUPER__19.1033 ENSG00000158850.1
velifer_evm.TU.SUPER__19.1034 ENSG00000143224.1
velifer_evm.TU.SUPER__19.1035 ENSG00000143258.1
velifer_evm.TU.SUPER__19.1036 ENSG00000143222.1
velifer_evm.TU.SUPER__19.1037 ENSG00000158796.1
velifer_evm.TU.SUPER__19.1039 ENSG00000143256.1
velifer_evm.TU.SUPER__19.104 ENSG00000156876.1
velifer_evm.TU.SUPER__19.1040 ENSG00000162755.1
velifer_evm.TU.SUPER__19.1041 ENSG00000143217.1
velifer_evm.TU.SUPER__19.1043 ENSG00000158773.1
velifer_evm.TU.SUPER__19.1044 ENSG00000215845.1
velifer_evm.TU.SUPER__19.1045 ENSG00000158769.2
velifer_evm.TU.SUPER__19.1048 ENSG00000179119.6
velifer_evm.TU.SUPER__19.1049 ENSG00000119335.4
velifer_evm.TU.SUPER__19.105 ENSG00000122435.1
velifer_evm.TU.SUPER__19.107 ENSG00000137992.1
velifer_evm.TU.SUPER__19.11 ENSG00000274997.1
velifer_evm.TU.SUPER__19.110 ENSG00000181656.1
velifer_evm.TU.SUPER__19.111 ENSG00000162692.1
velifer_evm.TU.SUPER__19.113 ENSG00000162694.1
velifer_evm.TU.SUPER__19.114 ENSG00000162695.1
velifer_evm.TU.SUPER__19.115 ENSG00000117543.1
velifer_evm.TU.SUPER__19.116 ENSG00000170989.1
velifer_evm.TU.SUPER__19.12 ENSG00000287080.2
velifer_evm.TU.SUPER__19.122 ENSG00000060718.1
velifer_evm.TU.SUPER__19.125 ENSG00000240038.1
velifer_evm.TU.SUPER__19.13 ENSG00000278677.2
velifer_evm.TU.SUPER__19.130 ENSG00000198890.1
velifer_evm.TU.SUPER__19.131 ENSG00000162631.1
velifer_evm.TU.SUPER__19.135 ENSG00000085491.1
velifer_evm.TU.SUPER__19.136 ENSG00000085491.2
velifer_evm.TU.SUPER__19.137 ENSG00000162636.1
velifer_evm.TU.SUPER__19.138 ENSG00000162639.1
velifer_evm.TU.SUPER__19.139 ENSG00000134186.1
velifer_evm.TU.SUPER__19.140 ENSG00000143107.1
velifer_evm.TU.SUPER__19.141 ENSG00000116266.1
velifer_evm.TU.SUPER__19.142 ENSG00000162641.1
velifer_evm.TU.SUPER__19.143 ENSG00000121957.1
velifer_evm.TU.SUPER__19.146 ENSG00000197780.1
velifer_evm.TU.SUPER__19.148 ENSG00000179902.1
velifer_evm.TU.SUPER__19.149 ENSG00000116299.1
velifer_evm.TU.SUPER__19.15 ENSG00000158553.1
velifer_evm.TU.SUPER__19.152 ENSG00000143126.1
velifer_evm.TU.SUPER__19.155 ENSG00000134243.1
velifer_evm.TU.SUPER__19.156 ENSG00000143106.1
velifer_evm.TU.SUPER__19.157 ENSG00000143028.1
velifer_evm.TU.SUPER__19.158 ENSG00000162650.1
velifer_evm.TU.SUPER__19.159 ENSG00000174151.1
velifer_evm.TU.SUPER__19.16 ENSG00000112812.1
velifer_evm.TU.SUPER__19.160 ENSG00000181754.1
velifer_evm.TU.SUPER__19.161 ENSG00000156097.1
velifer_evm.TU.SUPER__19.162 ENSG00000065135.1
velifer_evm.TU.SUPER__19.163 ENSG00000134183.1
velifer_evm.TU.SUPER__19.164 ENSG00000116337.1
velifer_evm.TU.SUPER__19.165 ENSG00000168765.1
velifer_evm.TU.SUPER__19.166 ENSG00000134184.1
velifer_evm.TU.SUPER__19.167 ENSG00000117360.1
velifer_evm.TU.SUPER__19.168 ENSG00000134202.1
velifer_evm.TU.SUPER__19.17 ENSG00000274997.2
velifer_evm.TU.SUPER__19.170 ENSG00000184371.1
velifer_evm.TU.SUPER__19.171 ENSG00000168710.1
velifer_evm.TU.SUPER__19.172 ENSG00000143093.1
velifer_evm.TU.SUPER__19.173 ENSG00000156150.1
velifer_evm.TU.SUPER__19.174 ENSG00000197106.1
velifer_evm.TU.SUPER__19.175 ENSG00000116396.1
velifer_evm.TU.SUPER__19.177 ENSG00000168679.1
velifer_evm.TU.SUPER__19.178 ENSG00000134248.1
velifer_evm.TU.SUPER__19.179 ENSG00000143125.1
velifer_evm.TU.SUPER__19.18 ENSG00000278705.2
velifer_evm.TU.SUPER__19.181 ENSG00000143105.1
velifer_evm.TU.SUPER__19.182 ENSG00000177301.1
velifer_evm.TU.SUPER__19.183 ENSG00000143119.1
velifer_evm.TU.SUPER__19.184 ENSG00000121931.1
velifer_evm.TU.SUPER__19.188 ENSG00000162777.1
velifer_evm.TU.SUPER__19.189 ENSG00000134216.1
velifer_evm.TU.SUPER__19.19 ENSG00000278677.3
velifer_evm.TU.SUPER__19.190 ENSG00000134216.2
velifer_evm.TU.SUPER__19.192 ENSG00000096088.1
velifer_evm.TU.SUPER__19.194 ENSG00000116455.1
velifer_evm.TU.SUPER__19.195 ENSG00000116459.1
velifer_evm.TU.SUPER__19.199 ENSG00000116473.1
velifer_evm.TU.SUPER__19.2 ENSG00000189134.1
velifer_evm.TU.SUPER__19.20 ENSG00000244219.1
velifer_evm.TU.SUPER__19.201 ENSG00000197852.1
velifer_evm.TU.SUPER__19.203 ENSG00000064703.1
velifer_evm.TU.SUPER__19.204 ENSG00000171385.1
velifer_evm.TU.SUPER__19.208 ENSG00000116489.1
velifer_evm.TU.SUPER__19.209 ENSG00000155363.1
velifer_evm.TU.SUPER__19.21 ENSG00000146109.1
velifer_evm.TU.SUPER__19.213 ENSG00000155380.1
velifer_evm.TU.SUPER__19.216 ENSG00000198799.1
velifer_evm.TU.SUPER__19.218 ENSG00000081026.1
velifer_evm.TU.SUPER__19.22 ENSG00000124557.2
velifer_evm.TU.SUPER__19.220 ENSG00000081019.1
velifer_evm.TU.SUPER__19.221 ENSG00000134242.1
velifer_evm.TU.SUPER__19.222 ENSG00000188761.1
velifer_evm.TU.SUPER__19.223 ENSG00000134262.1
velifer_evm.TU.SUPER__19.225 ENSG00000163349.1
velifer_evm.TU.SUPER__19.226 ENSG00000116774.1
velifer_evm.TU.SUPER__19.23 ENSG00000112763.1
velifer_evm.TU.SUPER__19.230 ENSG00000197323.1
velifer_evm.TU.SUPER__19.231 ENSG00000116752.1
velifer_evm.TU.SUPER__19.232 ENSG00000175984.1
velifer_evm.TU.SUPER__19.234 ENSG00000213281.1
velifer_evm.TU.SUPER__19.235 ENSG00000009307.2
velifer_evm.TU.SUPER__19.237 ENSG00000198765.2
velifer_evm.TU.SUPER__19.238 ENSG00000134200.1
velifer_evm.TU.SUPER__19.239 ENSG00000134198.1
velifer_evm.TU.SUPER__19.244 ENSG00000173218.1
velifer_evm.TU.SUPER__19.245 ENSG00000118729.1
velifer_evm.TU.SUPER__19.246 ENSG00000177551.1
velifer_evm.TU.SUPER__19.247 ENSG00000163393.1
velifer_evm.TU.SUPER__19.25 ENSG00000111801.7
velifer_evm.TU.SUPER__19.251 ENSG00000163399.3
velifer_evm.TU.SUPER__19.254 ENSG00000116815.1
velifer_evm.TU.SUPER__19.255 ENSG00000143061.2
velifer_evm.TU.SUPER__19.256 ENSG00000116824.1
velifer_evm.TU.SUPER__19.257 ENSG00000134247.1
velifer_evm.TU.SUPER__19.258 ENSG00000134256.1
velifer_evm.TU.SUPER__19.259 ENSG00000116830.1
velifer_evm.TU.SUPER__19.260 ENSG00000134253.1
velifer_evm.TU.SUPER__19.262 ENSG00000134258.1
velifer_evm.TU.SUPER__19.264 ENSG00000198162.1
velifer_evm.TU.SUPER__19.265 ENSG00000183508.1
velifer_evm.TU.SUPER__19.269 ENSG00000196505.1
velifer_evm.TU.SUPER__19.270 ENSG00000065183.1
velifer_evm.TU.SUPER__19.271 ENSG00000178104.1
velifer_evm.TU.SUPER__19.272 ENSG00000265808.1
velifer_evm.TU.SUPER__19.273 ENSG00000134250.1
velifer_evm.TU.SUPER__19.274 ENSG00000134249.1
velifer_evm.TU.SUPER__19.275 ENSG00000134193.1
velifer_evm.TU.SUPER__19.276 ENSG00000134240.1
velifer_evm.TU.SUPER__19.277 ENSG00000092621.3
velifer_evm.TU.SUPER__19.278 ENSG00000143067.1
velifer_evm.TU.SUPER__19.279 ENSG00000166589.2
velifer_evm.TU.SUPER__19.28 ENSG00000111801.8
velifer_evm.TU.SUPER__19.280 ENSG00000203859.1
velifer_evm.TU.SUPER__19.283 ENSG00000116874.1
velifer_evm.TU.SUPER__19.284 ENSG00000092607.1
velifer_evm.TU.SUPER__19.288 ENSG00000015133.56
velifer_evm.TU.SUPER__19.289 ENSG00000015133.57
velifer_evm.TU.SUPER__19.29 ENSG00000111801.9
velifer_evm.TU.SUPER__19.291 ENSG00000155761.1
velifer_evm.TU.SUPER__19.294 ENSG00000143556.4
velifer_evm.TU.SUPER__19.295 ENSG00000143556.5
velifer_evm.TU.SUPER__19.296 ENSG00000143556.6
velifer_evm.TU.SUPER__19.297 ENSG00000143556.7
velifer_evm.TU.SUPER__19.298 ENSG00000143556.8
velifer_evm.TU.SUPER__19.299 ENSG00000143556.9
velifer_evm.TU.SUPER__19.300 ENSG00000143556.10
velifer_evm.TU.SUPER__19.301 ENSG00000184330.1
velifer_evm.TU.SUPER__19.302 ENSG00000143546.1
velifer_evm.TU.SUPER__19.303 ENSG00000163221.1
velifer_evm.TU.SUPER__19.304 ENSG00000163220.1
velifer_evm.TU.SUPER__19.305 ENSG00000159527.1
velifer_evm.TU.SUPER__19.308 ENSG00000203783.1
velifer_evm.TU.SUPER__19.311 ENSG00000163209.3
velifer_evm.TU.SUPER__19.315 ENSG00000149548.2
velifer_evm.TU.SUPER__19.316 ENSG00000149548.3
velifer_evm.TU.SUPER__19.317 ENSG00000163207.1
velifer_evm.TU.SUPER__19.320 ENSG00000235942.1
velifer_evm.TU.SUPER__19.326 ENSG00000159455.5
velifer_evm.TU.SUPER__19.327 ENSG00000143536.1
velifer_evm.TU.SUPER__19.328 ENSG00000143520.1
velifer_evm.TU.SUPER__19.329 ENSG00000143631.1
velifer_evm.TU.SUPER__19.33 ENSG00000111801.10
velifer_evm.TU.SUPER__19.330 ENSG00000143520.2
velifer_evm.TU.SUPER__19.331 ENSG00000215853.1
velifer_evm.TU.SUPER__19.332 ENSG00000159450.1
velifer_evm.TU.SUPER__19.335 ENSG00000163191.2
velifer_evm.TU.SUPER__19.336 ENSG00000197747.1
velifer_evm.TU.SUPER__19.337 ENSG00000159445.1
velifer_evm.TU.SUPER__19.338 ENSG00000124733.1
velifer_evm.TU.SUPER__19.339 ENSG00000196407.1
velifer_evm.TU.SUPER__19.340 ENSG00000225556.1
velifer_evm.TU.SUPER__19.341 ENSG00000143365.1
velifer_evm.TU.SUPER__19.342 ENSG00000213171.1
velifer_evm.TU.SUPER__19.343 ENSG00000182134.1
velifer_evm.TU.SUPER__19.345 ENSG00000143436.1
velifer_evm.TU.SUPER__19.347 ENSG00000159409.1
velifer_evm.TU.SUPER__19.348 ENSG00000143376.1
velifer_evm.TU.SUPER__19.35 ENSG00000278705.3
velifer_evm.TU.SUPER__19.350 ENSG00000143375.1
velifer_evm.TU.SUPER__19.351 ENSG00000143442.1
velifer_evm.TU.SUPER__19.352 ENSG00000159377.1
velifer_evm.TU.SUPER__19.354 ENSG00000143390.1
velifer_evm.TU.SUPER__19.356 ENSG00000143373.1
velifer_evm.TU.SUPER__19.357 ENSG00000159352.1
velifer_evm.TU.SUPER__19.358 ENSG00000143398.1
velifer_evm.TU.SUPER__19.359 ENSG00000163159.1
velifer_evm.TU.SUPER__19.36 ENSG00000278677.4
velifer_evm.TU.SUPER__19.360 ENSG00000163157.1
velifer_evm.TU.SUPER__19.361 ENSG00000163156.1
velifer_evm.TU.SUPER__19.363 ENSG00000163154.1
velifer_evm.TU.SUPER__19.364 ENSG00000143434.1
velifer_evm.TU.SUPER__19.365 ENSG00000143458.1
velifer_evm.TU.SUPER__19.366 ENSG00000213190.1
velifer_evm.TU.SUPER__19.367 ENSG00000197622.2
velifer_evm.TU.SUPER__19.368 ENSG00000143443.1
velifer_evm.TU.SUPER__19.369 ENSG00000163141.1
velifer_evm.TU.SUPER__19.37 ENSG00000287080.3
velifer_evm.TU.SUPER__19.370 ENSG00000143363.1
velifer_evm.TU.SUPER__19.371 ENSG00000143409.1
velifer_evm.TU.SUPER__19.372 ENSG00000143412.1
velifer_evm.TU.SUPER__19.373 ENSG00000143418.1
velifer_evm.TU.SUPER__19.374 ENSG00000143379.1
velifer_evm.TU.SUPER__19.377 ENSG00000143387.1
velifer_evm.TU.SUPER__19.379 ENSG00000163131.1
velifer_evm.TU.SUPER__19.38 ENSG00000287080.4
velifer_evm.TU.SUPER__19.380 ENSG00000143452.1
velifer_evm.TU.SUPER__19.381 ENSG00000143457.1
velifer_evm.TU.SUPER__19.383 ENSG00000143384.2
velifer_evm.TU.SUPER__19.386 ENSG00000143374.1
velifer_evm.TU.SUPER__19.387 ENSG00000163125.1
velifer_evm.TU.SUPER__19.388 ENSG00000117360.2
velifer_evm.TU.SUPER__19.389 ENSG00000266472.1
velifer_evm.TU.SUPER__19.39 ENSG00000278705.4
velifer_evm.TU.SUPER__19.390 ENSG00000159208.1
velifer_evm.TU.SUPER__19.391 ENSG00000118292.1
velifer_evm.TU.SUPER__19.392 ENSG00000117362.1
velifer_evm.TU.SUPER__19.393 ENSG00000118298.1
velifer_evm.TU.SUPER__19.394 ENSG00000143401.1
velifer_evm.TU.SUPER__19.396 ENSG00000166913.2
velifer_evm.TU.SUPER__19.397 ENSG00000023902.1
velifer_evm.TU.SUPER__19.399 ENSG00000136840.2
velifer_evm.TU.SUPER__19.40 ENSG00000278705.5
velifer_evm.TU.SUPER__19.400 ENSG00000136840.3
velifer_evm.TU.SUPER__19.401 ENSG00000264522.1
velifer_evm.TU.SUPER__19.403 ENSG00000143368.1
velifer_evm.TU.SUPER__19.404 ENSG00000159164.1
velifer_evm.TU.SUPER__19.405 ENSG00000178096.1
velifer_evm.TU.SUPER__19.406 ENSG00000184270.1
velifer_evm.TU.SUPER__19.407 ENSG00000184260.1
velifer_evm.TU.SUPER__19.408 ENSG00000278705.6
velifer_evm.TU.SUPER__19.409 ENSG00000203852.1
velifer_evm.TU.SUPER__19.41 ENSG00000124575.1
velifer_evm.TU.SUPER__19.410 ENSG00000288859.1
velifer_evm.TU.SUPER__19.411 ENSG00000288859.2
velifer_evm.TU.SUPER__19.412 ENSG00000203852.2
velifer_evm.TU.SUPER__19.413 ENSG00000278705.7
velifer_evm.TU.SUPER__19.414 ENSG00000150337.1
velifer_evm.TU.SUPER__19.416 ENSG00000143556.11
velifer_evm.TU.SUPER__19.417 ENSG00000196420.1
velifer_evm.TU.SUPER__19.418 ENSG00000196154.1
velifer_evm.TU.SUPER__19.419 ENSG00000188015.1
velifer_evm.TU.SUPER__19.42 ENSG00000287080.5
velifer_evm.TU.SUPER__19.420 ENSG00000196754.1
velifer_evm.TU.SUPER__19.421 ENSG00000188643.1
velifer_evm.TU.SUPER__19.422 ENSG00000188643.2
velifer_evm.TU.SUPER__19.423 ENSG00000188643.3
velifer_evm.TU.SUPER__19.424 ENSG00000189334.1
