geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-HSA-1852241	Organelle biogenesis and maintenance	http://reactome.org/PathwayBrowser/#/R-HSA-1852241	0.4070801794825734	0.7873718048996573	0.7430303021296603	0.9254799180365505	5	./Project_1709264139_GSEA/R_HSA_1852241.png	2	132320;11127	KIF3A;SCLT1
R-HSA-72766	Translation	http://reactome.org/PathwayBrowser/#/R-HSA-72766	0.519303054796536	1.136736516952129	0.3088718507022214	0.9256089364786483	9	./Project_1709264139_GSEA/R_HSA_72766.png	3	29093;51021;9789	MRPL22;MRPS16;SPCS2
R-HSA-418346	Platelet homeostasis	http://reactome.org/PathwayBrowser/#/R-HSA-418346	0.35174718350241335	0.7916437835232433	0.7308970091573677	0.9278138338528361	10	./Project_1709264139_GSEA/R_HSA_418346.png	4	5023;9127;5321;338	APOB;P2RX1;P2RX6;PLA2G4A
R-HSA-556833	Metabolism of lipids	http://reactome.org/PathwayBrowser/#/R-HSA-556833	0.46059039433152077	1.1482718579488882	0.29411764676052976	0.9281088162252163	19	./Project_1709264139_GSEA/R_HSA_556833.png	3	5320;346606;3033	HADH;MOGAT3;PLA2G2A
R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168179	0.6053265364007395	1.3110498928301473	0.16136363618026858	0.9299608189549027	8	./Project_1709264139_GSEA/R_HSA_168179.png	2	6441;5599	MAPK8;SFTPD
R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-181438	0.6053265364007395	1.3110498928301473	0.16136363618026858	0.9299608189549027	8	./Project_1709264139_GSEA/R_HSA_181438.png	2	6441;5599	MAPK8;SFTPD
R-HSA-909733	Interferon alpha/beta signaling	http://reactome.org/PathwayBrowser/#/R-HSA-909733	0.6655751829907699	1.2834182439342159	0.1829121538111767	0.930200940688131	5	./Project_1709264139_GSEA/R_HSA_909733.png	4	3454;3434;6041;4938	IFIT1;IFNAR1;OAS1;RNASEL
R-HSA-2187338	Visual phototransduction	http://reactome.org/PathwayBrowser/#/R-HSA-2187338	0.37537323029463376	0.7927994682239935	0.727064219349697	0.9345692507240194	7	./Project_1709264139_GSEA/R_HSA_2187338.png	6	338;9626;9187;5947;10681;6382	APOB;GNB5;GUCA1C;RBP1;SDC1;SLC24A1
R-HSA-5663205	Infectious disease	http://reactome.org/PathwayBrowser/#/R-HSA-5663205	0.35719531961100115	0.7964664861804297	0.7383592009552559	0.9376923981666505	9	./Project_1709264139_GSEA/R_HSA_5663205.png	7	5608;4686;920;6128;79849;905;161	AP2A2;CCNT2;CD4;MAP2K6;NCBP1;PDZD3;RPL6
R-HSA-446203	Asparagine N-linked glycosylation	http://reactome.org/PathwayBrowser/#/R-HSA-446203	0.49566865853224595	1.0556884843495573	0.41163310915924706	0.9389398390857266	8	./Project_1709264139_GSEA/R_HSA_446203.png	5	5265;6185;1604;84342;2157	CD55;COG8;F8;RPN2;SERPINA1
R-HSA-1430728	Metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-1430728	0.2921886062940284	0.7995377895358722	0.84999999915	0.9414657731683183	56	./Project_1709264139_GSEA/R_HSA_1430728.png	6	5320;23743;346606;653689;256987;3033	BHMT2;GSTT2B;HADH;MOGAT3;PLA2G2A;SERINC5
R-HSA-74160	Gene expression (Transcription)	http://reactome.org/PathwayBrowser/#/R-HSA-74160	0.30528049875294827	0.8215222048211769	0.7707707699992284	0.9428269160792981	42	./Project_1709264139_GSEA/R_HSA_74160.png	21	7181;389114;5608;355;3815;4686;84172;2811;7884;246175;84870;55814;9099;7755;58492;7627;5196;284307;92595;221400;9739	BDP1;CNOT6L;FAS;GP1BA;KIT;MAP2K6;NCBP1;NR2C1;PF4;POLR1B;RSPO3;SETD1A;SLBP;TDRD6;USP2;ZIK1;ZNF205;ZNF662;ZNF75A;ZNF764;ZNF77
R-HSA-162906	HIV Infection	http://reactome.org/PathwayBrowser/#/R-HSA-162906	0.38796996049070237	0.8041037731497671	0.7176749694926751	0.9433143184153951	6	./Project_1709264139_GSEA/R_HSA_162906.png	2	4686;920	CD4;NCBP1
R-HSA-388396	GPCR downstream signalling	http://reactome.org/PathwayBrowser/#/R-HSA-388396	0.384460750691287	1.033753789232851	0.435999999564	0.943728436948289	54	./Project_1709264139_GSEA/R_HSA_388396.png	27	81327;256933;6376;390190;6363;2358;2867;26211;8387;134864;6387;5368;5729;59350;5321;283365;133;338;338442;219960;9626;9187;5196;5947;441670;338674;256144	ADM;APOB;CCL19;CX3CL1;CXCL12;FFAR2;FPR2;GUCA1C;HCAR2;NPB;OR10Q1;OR1E1;OR2F1;OR4A16;OR4C3;OR4M1;OR5B2;OR5F1;OR6C6;PF4;PLA2G4A;PNOC;PTGDR;RBP1;RXFP1;SLC24A1;TAAR1
R-HSA-5653656	Vesicle-mediated transport	http://reactome.org/PathwayBrowser/#/R-HSA-5653656	0.5187805319134924	1.3268674097555	0.12096774181354059	0.9447938707025512	24	./Project_1709264139_GSEA/R_HSA_5653656.png	14	2495;10808;5265;920;10092;11127;1604;5321;8685;84342;338;1278;2157;2700	APOB;ARPC5;CD4;CD55;COG8;COL1A2;F8;FTH1;GJA3;HSPH1;KIF3A;MARCO;PLA2G4A;SERPINA1
R-HSA-5358351	Signaling by Hedgehog	http://reactome.org/PathwayBrowser/#/R-HSA-5358351	0.42086504585526846	0.8054001585756629	0.7083825257280018	0.9502482962733078	5	./Project_1709264139_GSEA/R_HSA_5358351.png	2	23288;11127	IQCE;KIF3A
R-HSA-597592	Post-translational protein modification	http://reactome.org/PathwayBrowser/#/R-HSA-597592	0.3961630199763061	1.056482622249349	0.393999999606	0.9528379054693172	45	./Project_1709264139_GSEA/R_HSA_597592.png	17	6672;197;7181;5265;4582;6185;1604;84342;9099;3490;338;64326;1048;10164;54972;146712;2157	AHSG;APOB;B3GNTL1;CD55;CEACAM5;CHST4;COG8;COP1;F8;IGFBP7;MUC1;NR2C1;RPN2;SERPINA1;SP100;TMEM132A;USP2
R-HSA-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	http://reactome.org/PathwayBrowser/#/R-HSA-425393	0.34267783861741913	0.8062861261014402	0.6983122355503035	0.9578874617211333	12	./Project_1709264139_GSEA/R_HSA_425393.png	1	6521	SLC4A1
R-HSA-114608	Platelet degranulation	http://reactome.org/PathwayBrowser/#/R-HSA-114608	0.5046884324114407	1.0657522503568726	0.40133779219471816	0.958237192150198	8	./Project_1709264139_GSEA/R_HSA_114608.png	2	197;5265	AHSG;SERPINA1
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	http://reactome.org/PathwayBrowser/#/R-HSA-76005	0.5046884324114407	1.0657522503568726	0.40133779219471816	0.958237192150198	8	./Project_1709264139_GSEA/R_HSA_76005.png	2	197;5265	AHSG;SERPINA1
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	http://reactome.org/PathwayBrowser/#/R-HSA-8856825	0.30412020607925033	0.6221774125153448	0.9145496525236148	0.960543699280374	6	./Project_1709264139_GSEA/R_HSA_8856825.png	2	920;338	APOB;CD4
R-HSA-392499	Metabolism of proteins	http://reactome.org/PathwayBrowser/#/R-HSA-392499	0.38682338173634373	1.0590621438819832	0.37999999962000003	0.9611270226398101	66	./Project_1709264139_GSEA/R_HSA_392499.png	9	6672;6441;29093;197;51021;7181;5110;5265;9789	AHSG;MRPL22;MRPS16;NR2C1;PCMT1;SERPINA1;SFTPD;SP100;SPCS2
R-HSA-373080	Class B/2 (Secretin family receptors)	http://reactome.org/PathwayBrowser/#/R-HSA-373080	0.34483761243481614	0.7483687680031043	0.7847682110543397	0.9622358306433232	8	./Project_1709264139_GSEA/R_HSA_373080.png	6	1604;976;133;8325;9340;10681	ADGRE5;ADM;CD55;FZD8;GLP2R;GNB5
R-HSA-6805567	Keratinization	http://reactome.org/PathwayBrowser/#/R-HSA-6805567	0.46406974074568696	1.092670854727744	0.3583333329600695	0.9622406861611859	14	./Project_1709264139_GSEA/R_HSA_6805567.png	5	25818;643394;1828;3880;3852	DSG1;KLK5;KRT19;KRT5;SPINK9
R-HSA-6809371	Formation of the cornified envelope	http://reactome.org/PathwayBrowser/#/R-HSA-6809371	0.46406974074568696	1.092670854727744	0.3583333329600695	0.9622406861611859	14	./Project_1709264139_GSEA/R_HSA_6809371.png	5	25818;643394;1828;3880;3852	DSG1;KLK5;KRT19;KRT5;SPINK9
R-HSA-111465	Apoptotic cleavage of cellular proteins	http://reactome.org/PathwayBrowser/#/R-HSA-111465	0.3012965548042827	0.5871072620296329	0.9316239304864177	0.9633220975857868	5	./Project_1709264139_GSEA/R_HSA_111465.png	3	1828;9414;840	CASP7;DSG1;TJP2
R-HSA-75153	Apoptotic execution phase	http://reactome.org/PathwayBrowser/#/R-HSA-75153	0.3012965548042827	0.5871072620296329	0.9316239304864177	0.9633220975857868	5	./Project_1709264139_GSEA/R_HSA_75153.png	3	1828;9414;840	CASP7;DSG1;TJP2
R-HSA-69278	Cell Cycle, Mitotic	http://reactome.org/PathwayBrowser/#/R-HSA-69278	0.46313626420692966	1.0212432504968656	0.4438264733661552	0.9633322379026615	9	./Project_1709264139_GSEA/R_HSA_69278.png	3	54908;7444;5558	PRIM2;SPDL1;VRK2
R-HSA-8953854	Metabolism of RNA	http://reactome.org/PathwayBrowser/#/R-HSA-8953854	0.470455606502448	1.1092195719309903	0.3438818561773398	0.9636739589570414	13	./Project_1709264139_GSEA/R_HSA_8953854.png	8	200315;54464;4686;54974;7884;246175;4691;6128	APOBEC3A;CNOT6L;NCBP1;NCL;RPL6;SLBP;THG1L;XRN1
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	http://reactome.org/PathwayBrowser/#/R-HSA-9006934	0.24591853629780386	0.6272364844820343	0.9215291741232101	0.9639293147527589	24	./Project_1709264139_GSEA/R_HSA_9006934.png	7	3815;6387;4686;1447;6778;256076;1278	COL1A2;COL6A5;CSN2;CXCL12;KIT;NCBP1;STAT6
R-HSA-5693532	DNA Double-Strand Break Repair	http://reactome.org/PathwayBrowser/#/R-HSA-5693532	0.561186577069777	1.0862709689561336	0.37077294641210995	0.9648681182906298	5	./Project_1709264139_GSEA/R_HSA_5693532.png	2	5599;2138	EYA1;MAPK8
R-HSA-418555	G alpha (s) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-418555	0.4322522738185758	1.079937563936617	0.37336024180286553	0.9667217722432612	22	./Project_1709264139_GSEA/R_HSA_418555.png	13	81327;390190;26211;8387;134864;5729;59350;283365;133;219960;441670;338674;256144	ADM;OR10Q1;OR1E1;OR2F1;OR4A16;OR4C3;OR4M1;OR5B2;OR5F1;OR6C6;PTGDR;RXFP1;TAAR1
R-HSA-196854	Metabolism of vitamins and cofactors	http://reactome.org/PathwayBrowser/#/R-HSA-196854	0.3259957491802609	0.6409453959637161	0.8840579699467899	0.9674163901550044	5	./Project_1709264139_GSEA/R_HSA_196854.png	3	338;5947;2356	APOB;FPGS;RBP1
R-HSA-157118	Signaling by NOTCH	http://reactome.org/PathwayBrowser/#/R-HSA-157118	0.30175666313312854	0.6323122589497023	0.8924122300199182	0.967460681122896	7	./Project_1709264139_GSEA/R_HSA_157118.png	1	2208	FCER2
R-HSA-5663202	Diseases of signal transduction	http://reactome.org/PathwayBrowser/#/R-HSA-5663202	0.24222466270079365	0.5555654489639561	0.9492988123524285	0.9686345640176215	10	./Project_1709264139_GSEA/R_HSA_5663202.png	4	3815;4686;5947;8325	FZD8;KIT;NCBP1;RBP1
R-HSA-2980736	Peptide hormone metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-2980736	0.3103869998384073	0.6472171892086047	0.8859749134709523	0.9690837113886605	7	./Project_1709264139_GSEA/R_HSA_2980736.png	6	9789;290;2999;1636;2922;56605	ACE;ANPEP;ERO1B;GRP;GZMH;SPCS2
R-HSA-73857	RNA Polymerase II Transcription	http://reactome.org/PathwayBrowser/#/R-HSA-73857	0.2747496069560842	0.7362044098661428	0.849699397946193	0.9693145923769965	39	./Project_1709264139_GSEA/R_HSA_73857.png	19	7181;389114;5608;355;3815;4686;2811;7884;246175;84870;9099;7755;58492;7627;5196;284307;92595;9739;90233	CNOT6L;FAS;GP1BA;KIT;MAP2K6;NCBP1;NR2C1;PF4;RSPO3;SETD1A;SLBP;USP2;ZIK1;ZNF205;ZNF551;ZNF662;ZNF75A;ZNF764;ZNF77
R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	http://reactome.org/PathwayBrowser/#/R-HSA-983168	0.32296823793726737	0.7285384237288054	0.7926960249272867	0.9707005123643714	10	./Project_1709264139_GSEA/R_HSA_983168.png	2	55008;151636	DTX3L;HERC6
R-HSA-983169	Class I MHC mediated antigen processing & presentation	http://reactome.org/PathwayBrowser/#/R-HSA-983169	0.22566247293769007	0.5351909341519263	0.9502590663727886	0.9714909697884848	14	./Project_1709264139_GSEA/R_HSA_983169.png	2	55008;151636	DTX3L;HERC6
R-HSA-2559583	Cellular Senescence	http://reactome.org/PathwayBrowser/#/R-HSA-2559583	0.5426902192942558	1.100776317399507	0.35780885739183116	0.9725934960445277	6	./Project_1709264139_GSEA/R_HSA_2559583.png	3	5599;5608;3490	IGFBP7;MAP2K6;MAPK8
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-1650814	-0.32063074901445465	-0.8431256287699881	0.697841721598261	0.9732086780196313	6	./Project_1709264139_GSEA/R_HSA_1650814.png	6	256076;1278;1293;1290;1281;7093	COL1A2;COL3A1;COL5A2;COL6A3;COL6A5;TLL2
R-HSA-194315	Signaling by Rho GTPases	http://reactome.org/PathwayBrowser/#/R-HSA-194315	0.2596764384866123	0.5933753039200046	0.9234913783152032	0.9737657812811431	11	./Project_1709264139_GSEA/R_HSA_194315.png	8	54908;10092;3633;55701;5519;100271715;4221;4659	ARHGEF33;ARHGEF40;ARPC5;INPP5B;MEN1;PPP1R12A;PPP2R1B;SPDL1
R-HSA-1474244	Extracellular matrix organization	http://reactome.org/PathwayBrowser/#/R-HSA-1474244	0.22591490423746757	0.5570583662686415	0.9417773228378168	0.974895989985865	18	./Project_1709264139_GSEA/R_HSA_1474244.png	1	634	CEACAM1
R-HSA-3247509	Chromatin modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-3247509	0.30863190347819697	0.6483845670105299	0.8627002278458807	0.9757776467346038	8	./Project_1709264139_GSEA/R_HSA_3247509.png	4	79918;55729;9869;9739	ATF7IP;SETD1A;SETD6;SETDB1
R-HSA-4839726	Chromatin organization	http://reactome.org/PathwayBrowser/#/R-HSA-4839726	0.30863190347819697	0.6483845670105299	0.8627002278458807	0.9757776467346038	8	./Project_1709264139_GSEA/R_HSA_4839726.png	4	79918;55729;9869;9739	ATF7IP;SETD1A;SETD6;SETDB1
R-HSA-109582	Hemostasis	http://reactome.org/PathwayBrowser/#/R-HSA-109582	0.40581257959782446	1.0712632283986334	0.37274549060847145	0.9759841511569926	35	./Project_1709264139_GSEA/R_HSA_109582.png	18	197;634;5265;1084;5023;7035;140885;2811;57126;11127;9127;5321;338;1048;3687;1278;2157;5196	AHSG;APOB;CD177;CEACAM1;CEACAM3;CEACAM5;COL1A2;F8;GP1BA;ITGAX;KIF3A;P2RX1;P2RX6;PF4;PLA2G4A;SERPINA1;SIRPA;TFPI
R-HSA-8856828	Clathrin-mediated endocytosis	http://reactome.org/PathwayBrowser/#/R-HSA-8856828	0.329520586498409	0.7146248316205852	0.8093126376836889	0.9793417855623034	8	./Project_1709264139_GSEA/R_HSA_8856828.png	3	920;10092;338	APOB;ARPC5;CD4
R-HSA-372790	Signaling by GPCR	http://reactome.org/PathwayBrowser/#/R-HSA-372790	0.3732811000290653	1.0086206822228259	0.487999999512	0.9840591668902609	59	./Project_1709264139_GSEA/R_HSA_372790.png	29	81327;256933;6376;390190;6363;2358;2867;26211;8387;134864;6387;5368;5729;59350;1604;5321;283365;976;133;338;338442;219960;9626;9187;5196;5947;441670;338674;256144	ADGRE5;ADM;APOB;CCL19;CD55;CX3CL1;CXCL12;FFAR2;FPR2;GUCA1C;HCAR2;NPB;OR10Q1;OR1E1;OR2F1;OR4A16;OR4C3;OR4M1;OR5B2;OR5F1;OR6C6;PF4;PLA2G4A;PNOC;PTGDR;RBP1;RXFP1;SLC24A1;TAAR1
R-HSA-3700989	Transcriptional Regulation by TP53	http://reactome.org/PathwayBrowser/#/R-HSA-3700989	0.3007270674382121	0.695621535819723	0.8344226570431126	0.9844842050646218	11	./Project_1709264139_GSEA/R_HSA_3700989.png	4	5608;355;246175;9099	CNOT6L;FAS;MAP2K6;USP2
R-HSA-195721	Signaling by WNT	http://reactome.org/PathwayBrowser/#/R-HSA-195721	0.312889788331215	0.6626818220588898	0.885380115923532	0.9854714591708398	7	./Project_1709264139_GSEA/R_HSA_195721.png	6	84870;8325;10681;161;5519;4221	AP2A2;FZD8;GNB5;MEN1;PPP2R1B;RSPO3
R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	http://reactome.org/PathwayBrowser/#/R-HSA-168643	0.35577621732526676	0.7002762928785043	0.8379052358629611	0.9872081499275361	5	./Project_1709264139_GSEA/R_HSA_168643.png	3	5608;22861;837	CASP4;MAP2K6;NLRP1
R-HSA-76009	Platelet Aggregation (Plug Formation)	http://reactome.org/PathwayBrowser/#/R-HSA-76009	0.34385638763421283	0.6671729224994885	0.871825875608433	0.9893941669972891	5	./Project_1709264139_GSEA/R_HSA_76009.png	3	2811;1278;11069	COL1A2;GP1BA;RAPGEF4
R-HSA-425407	SLC-mediated transmembrane transport	http://reactome.org/PathwayBrowser/#/R-HSA-425407	0.26185579930467773	0.6492513155260409	0.8828365869652245	0.9905658414307085	18	./Project_1709264139_GSEA/R_HSA_425407.png	1	6521	SLC4A1
R-HSA-202403	TCR signaling	http://reactome.org/PathwayBrowser/#/R-HSA-202403	0.6745188952360223	1.3274371900829434	0.1345679010684347	0.9915620373962898	5	./Project_1709264139_GSEA/R_HSA_202403.png	4	3127;920;5788;3119	CD4;HLA-DQB1;HLA-DRB5;PTPRC
R-HSA-8948216	Collagen chain trimerization	http://reactome.org/PathwayBrowser/#/R-HSA-8948216	0.34894857611575836	0.6790609907929516	0.8445783122354478	0.9939352246372122	5	./Project_1709264139_GSEA/R_HSA_8948216.png	2	256076;1278	COL1A2;COL6A5
R-HSA-5683057	MAPK family signaling cascades	http://reactome.org/PathwayBrowser/#/R-HSA-5683057	0.19969824628692115	0.4341921412471208	0.9977553299688492	0.9943194835649115	8	./Project_1709264139_GSEA/R_HSA_5683057.png	3	3815;5897;54756	IL17RD;KIT;RAG2
R-HSA-212436	Generic Transcription Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-212436	0.25251190000822277	0.6691305276723947	0.9088176343599021	0.9956997619006063	36	./Project_1709264139_GSEA/R_HSA_212436.png	17	7181;389114;5608;355;3815;2811;246175;84870;9099;7755;58492;7627;5196;284307;92595;9739;90233	CNOT6L;FAS;GP1BA;KIT;MAP2K6;NR2C1;PF4;RSPO3;SETD1A;USP2;ZIK1;ZNF205;ZNF551;ZNF662;ZNF75A;ZNF764;ZNF77
R-HSA-6806834	Signaling by MET	http://reactome.org/PathwayBrowser/#/R-HSA-6806834	-0.3425196850393701	-0.8792552723914272	0.6445783093700101	0.9983554280900904	5	./Project_1709264139_GSEA/R_HSA_6806834.png	5	1278;3909;1290;1281;64759	COL1A2;COL3A1;COL5A2;LAMA3;TNS3
R-HSA-8875878	MET promotes cell motility	http://reactome.org/PathwayBrowser/#/R-HSA-8875878	-0.3425196850393701	-0.8792552723914272	0.6445783093700101	0.9983554280900904	5	./Project_1709264139_GSEA/R_HSA_8875878.png	5	1278;3909;1290;1281;64759	COL1A2;COL3A1;COL5A2;LAMA3;TNS3
R-HSA-5673001	RAF/MAP kinase cascade	http://reactome.org/PathwayBrowser/#/R-HSA-5673001	-0.18134034165571616	-0.49767371506594893	0.9999999936708861	0.9990339811342198	6	./Project_1709264139_GSEA/R_HSA_5673001.png	6	3815;54756;5519;28956;7450;4684	IL17RD;KIT;LAMTOR2;NCAM1;PPP2R1B;VWF
